epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.7259,1.40439,0.30081,1,1.36865,0.0001625,0.0001625,0.0001625
2,28.237,1.2487,0.47967,1,1.24414,0.000330818,0.000330818,0.000330818
3,38.4055,1.05609,0.4878,1,1.2417,0.000492205,0.000492205,0.000492205
4,48.9675,0.88356,0.54472,1,1.10205,0.000646662,0.000646662,0.000646662
5,64.6741,0.80565,0.5935,1,1.06079,0.00079419,0.00079419,0.00079419
6,84.9311,0.64617,0.5935,1,1.10742,0.000934788,0.000934788,0.000934788
7,98.0763,0.59269,0.61789,1,1.05713,0.00106846,0.00106846,0.00106846
8,108.362,0.56082,0.57724,1,1.21436,0.00107675,0.00107675,0.00107675
9,128.162,0.52762,0.60976,1,1.15088,0.001052,0.001052,0.001052
10,137.978,0.50116,0.65041,1,1.08203,0.00102725,0.00102725,0.00102725
11,150.153,0.41925,0.56098,1,1.34424,0.0010025,0.0010025,0.0010025
12,161.724,0.37739,0.56911,1,1.21606,0.00097775,0.00097775,0.00097775
13,173.606,0.35772,0.60976,1,1.25342,0.000953,0.000953,0.000953
14,192.31,0.37535,0.70732,1,1.32227,0.00092825,0.00092825,0.00092825
15,210.256,0.33184,0.65041,1,1.1792,0.0009035,0.0009035,0.0009035
16,224.539,0.29553,0.54472,1,1.66846,0.00087875,0.00087875,0.00087875
17,235.915,0.31069,0.64228,1,1.31934,0.000854,0.000854,0.000854
18,246.793,0.26489,0.57724,1,1.34521,0.00082925,0.00082925,0.00082925
19,257.517,0.27989,0.5935,1,1.37354,0.0008045,0.0008045,0.0008045
20,269.768,0.22514,0.66667,1,1.42871,0.00077975,0.00077975,0.00077975
21,288.864,0.21782,0.61789,1,1.51562,0.000755,0.000755,0.000755
22,300.873,0.22152,0.57724,1,1.64697,0.00073025,0.00073025,0.00073025
23,312.645,0.19298,0.58537,1,1.75537,0.0007055,0.0007055,0.0007055
24,323.902,0.24115,0.58537,1,1.71924,0.00068075,0.00068075,0.00068075
